Dat,Intercept,Value,Kg
644,-189989.40,188516,13.6
645,-189989.40,188435,13.6
646,-189989.40,188429,13.6
647,-189989.40,188227,13.6
648,-189989.40,188329,13.6
649,-189989.40,188341,13.6
650,-189989.40,188395,13.6
651,-189989.40,188335,13.6
652,-189989.40,188409,13.6
653,-189989.40,188422,13.6
654,-189989.40,188217,13.6
655,-189989.40,188353,13.6
656,-189989.40,188343,13.6
657,-189989.40,188417,13.6
658,-189989.40,188530,13.6
659,-189989.40,188567,13.6
660,-189989.40,188477,13.6
661,-189989.40,188269,13.6
662,-189989.40,188367,13.6
663,-189989.40,188445,13.6
664,-189989.40,188406,13.6
665,-189989.40,188452,13.6
666,-189989.40,188510,13.6
667,-189989.40,188432,13.6
668,-189989.40,188419,13.6
669,-189989.40,188439,13.6
670,-189989.40,188526,13.6
671,-189989.40,188407,13.6
672,-189989.40,188518,13.6
673,-189989.40,188482,13.6
674,-189989.40,188431,13.6
675,-189989.40,188538,13.6
676,-189989.40,188386,13.6
677,-189989.40,188367,13.6
678,-189989.40,188397,13.6
679,-189989.40,188387,13.6
680,-189989.40,188523,13.6
681,-189989.40,188281,13.6
682,-189989.40,188438,13.6
683,-189989.40,188631,13.6
684,-189989.40,188592,13.6
685,-189989.40,188338,13.6
686,-189989.40,188213,13.6
687,-189989.40,188520,13.6
688,-189989.40,188533,13.6
689,-189989.40,188412,13.6
690,-189989.40,188577,13.6
691,-189989.40,188505,13.6
692,-189989.40,188429,13.6
693,-189989.40,188438,13.6
694,-189989.40,188440,13.6
695,-189989.40,188447,13.6
696,-189989.40,188532,13.6
697,-189989.40,188607,13.6
698,-189989.40,188515,13.6
699,-189989.40,188676,13.6
700,-189989.40,244949,15.6
701,-189989.40,244912,15.6
702,-189989.40,244856,15.6
703,-189989.40,244762,15.6
704,-189989.40,244864,15.6
705,-189989.40,244728,15.6
706,-189989.40,244848,15.6
707,-189989.40,244806,15.6
708,-189989.40,244642,15.6
709,-189989.40,244668,15.6
710,-189989.40,244854,15.6
711,-189989.40,244734,15.6
712,-189989.40,244776,15.6
713,-189989.40,244784,15.6
714,-189989.40,244719,15.6
715,-189989.40,244737,15.6
716,-189989.40,244715,15.6
717,-189989.40,244757,15.6
718,-189989.40,244744,15.6
719,-189989.40,244839,15.6
720,-189989.40,244792,15.6
721,-189989.40,244761,15.6
722,-189989.40,244828,15.6
723,-189989.40,244634,15.6
724,-189989.40,244544,15.6
725,-189989.40,244880,15.6
726,-189989.40,244670,15.6
727,-189989.40,244739,15.6
728,-189989.40,244793,15.6
729,-189989.40,244829,15.6
730,-189989.40,244717,15.6
731,-189989.40,244843,15.6
732,-189989.40,244754,15.6
733,-189989.40,244815,15.6
734,-189989.40,244761,15.6
735,-189989.40,244757,15.6
736,-189989.40,244543,15.6
737,-189989.40,244728,15.6
738,-189989.40,244670,15.6
739,-189989.40,244722,15.6
740,-189989.40,244538,15.6
741,-189989.40,244612,15.6
742,-189989.40,244786,15.6
743,-189989.40,244623,15.6
744,-189989.40,244719,15.6
745,-189989.40,244763,15.6
746,-189989.40,244792,15.6
747,-189989.40,244581,15.6
748,-189989.40,244498,15.6
749,-189989.40,244599,15.6
750,-189989.40,244587,15.6
751,-189989.40,244604,15.6
752,-189989.40,244733,15.6
753,-189989.40,244579,15.6
754,-189989.40,244886,15.6
755,-189989.40,244613,15.6
756,-189989.40,244493,15.6
757,-189989.40,244638,15.6
758,-189989.40,244691,15.6
759,-189989.40,244766,15.6
760,-189989.40,244588,15.6
761,-189989.40,244577,15.6
762,-189989.40,244722,15.6
763,-189989.40,244569,15.6
764,-189989.40,244603,15.6
765,-189989.40,244619,15.6
766,-189989.40,244606,15.6
767,-189989.40,244725,15.6
768,-189989.40,244516,15.6
769,-189989.40,244345,15.6
770,-189989.40,244565,15.6
771,-189989.40,244581,15.6
772,-189989.40,244468,15.6
773,-189989.40,244588,15.6
774,-189989.40,244637,15.6
775,-189989.40,244488,15.6
776,-189989.40,244626,15.6
777,-189989.40,244436,15.6
778,-189989.40,244377,15.6
779,-189989.40,244528,15.6
780,-189989.40,244535,15.6
781,-189989.40,244605,15.6
782,-189989.40,244591,15.6
783,-189989.40,244522,15.6
784,-189989.40,244691,15.6
785,-189989.40,244506,15.6
786,-189989.40,244674,15.6
787,-189989.40,244551,15.6
788,-189989.40,244500,15.6
789,-189989.40,244413,15.6
790,-189989.40,244607,15.6
791,-189989.40,244583,15.6
792,-189989.40,244689,15.6
793,-189989.40,244542,15.6
794,-189989.40,244524,15.6
795,-189989.40,244538,15.6
796,-189989.40,244578,15.6
797,-189989.40,244629,15.6
798,-189989.40,244487,15.6
799,-189989.40,244421,15.6
800,-189989.40,307953,17.95
801,-189989.40,307958,17.95
802,-189989.40,308059,17.95
803,-189989.40,308007,17.95
804,-189989.40,308096,17.95
805,-189989.40,308080,17.95
806,-189989.40,308086,17.95
807,-189989.40,307993,17.95
808,-189989.40,308005,17.95
809,-189989.40,308065,17.95
810,-189989.40,308226,17.95
811,-189989.40,308089,17.95
812,-189989.40,308143,17.95
813,-189989.40,308136,17.95
814,-189989.40,308041,17.95
815,-189989.40,308252,17.95
816,-189989.40,308133,17.95
817,-189989.40,308020,17.95
818,-189989.40,308037,17.95
819,-189989.40,307938,17.95
820,-189989.40,308166,17.95
821,-189989.40,308093,17.95
822,-189989.40,308095,17.95
823,-189989.40,308124,17.95
824,-189989.40,308144,17.95
825,-189989.40,308095,17.95
826,-189989.40,308053,17.95
827,-189989.40,308062,17.95
828,-189989.40,308104,17.95
829,-189989.40,308044,17.95
830,-189989.40,308029,17.95
831,-189989.40,308140,17.95
832,-189989.40,307982,17.95
833,-189989.40,308038,17.95
834,-189989.40,308172,17.95
835,-189989.40,308199,17.95
836,-189989.40,307996,17.95
837,-189989.40,308198,17.95
838,-189989.40,308184,17.95
839,-189989.40,308205,17.95
840,-189989.40,308134,17.95
841,-189989.40,308161,17.95
842,-189989.40,308053,17.95
843,-189989.40,308235,17.95
844,-189989.40,308265,17.95
845,-189989.40,308165,17.95
846,-189989.40,308139,17.95
847,-189989.40,308254,17.95
848,-189989.40,308057,17.95
849,-189989.40,308232,17.95
850,-189989.40,308139,17.95
851,-189989.40,308236,17.95
852,-189989.40,308233,17.95
853,-189989.40,308062,17.95
854,-189989.40,308185,17.95
855,-189989.40,308268,17.95
856,-189989.40,308198,17.95
857,-189989.40,308301,17.95
858,-189989.40,308184,17.95
859,-189989.40,308333,17.95
860,-189989.40,308288,17.95
861,-189989.40,308164,17.95
862,-189989.40,308277,17.95
863,-189989.40,308235,17.95
864,-189989.40,308327,17.95
865,-189989.40,308221,17.95
866,-189989.40,308268,17.95
867,-189989.40,308361,17.95
868,-189989.40,308324,17.95
869,-189989.40,308322,17.95
870,-189989.40,308254,17.95
871,-189989.40,308264,17.95
872,-189989.40,308381,17.95
873,-189989.40,308424,17.95
874,-189989.40,308362,17.95
875,-189989.40,308437,17.95
876,-189989.40,308310,17.95
877,-189989.40,308288,17.95
878,-189989.40,308334,17.95
879,-189989.40,308342,17.95
880,-189989.40,308308,17.95
881,-189989.40,308208,17.95
882,-189989.40,308393,17.95
883,-189989.40,308202,17.95
884,-189989.40,308321,17.95
885,-189989.40,308214,17.95
886,-189989.40,308334,17.95
887,-189989.40,308243,17.95
888,-189989.40,308251,17.95
889,-189989.40,308451,17.95
890,-189989.40,308335,17.95
891,-189989.40,308237,17.95
892,-189989.40,308343,17.95
893,-189989.40,308330,17.95
894,-189989.40,308392,17.95
895,-189989.40,308357,17.95
896,-189989.40,308301,17.95
897,-189989.40,308394,17.95
898,-189989.40,308253,17.95
899,-189989.40,308289,17.95
